ID;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
551;red salmon sockeye filets smoked;373;123;28;43;37;0;0;655;0;1674;65;258;47;5;78;88;6;246;3;9;0;0;13;0;626;2;11;626;48;702;103680;26;12;141587
552;eggnog;224;106;66;33;5;204;204;116;0;1499;1;2097;1;74;20;6;5;3;11;1;38;55;5;11;3302;51;5;483;24;2769;4191;94;12;3772
553;beer light;96;0;0;0;0;54;3;8;0;0;95;3131;0;83;79;0;69;13;67;1;0;0;0;0;132;95;14;165;94;396;693;77;44;19456
554;beer budweiser;12;0;0;0;0;9;0;1;0;0;95;274;0;0;0;0;0;0;0;0;0;0;0;0;12;95;0;21;38;38;97;0;0;22
555;weizenbier erdinger;220;18;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180
556;beer light budweiser;9;0;0;0;0;4;0;66;0;0;16;28;0;0;0;0;0;0;0;0;0;0;0;0;9;88;0;21;7;32;77;0;0;132
557;beer;142;0;0;0;0;117;0;15;0;0;67;3035;0;93;62;0;17;17;1;2;0;0;0;0;132;96;31;198;85;462;891;87;1;26436
558;root beer;202;0;0;0;0;523;523;0;0;0;68;4402;0;0;0;0;0;0;0;0;0;0;0;0;0;247;37;2;49;59;0;49;95;52334
559;whiskey sour mix;26;72;69;34;12;63;63;51;0;0;73;231;0;89;0;0;70;0;32;0;8;0;0;0;6;0;47;3;0;18;83;15;80;7914
560;whiskey sour;158;0;18;92;24;139;0;0;0;0;67;77;0;35;0;0;92;3;50;0;17;0;0;0;11;19;47;11;10;64;53;30;69;16717
561;tequila sunrise;232;2;0;0;0;238;0;6;0;0;1;1663;0;85;10;0;15;4;2;1;407;0;0;0;0;10;38;148;46;211;211;0;13;65357
562;daiquiri;112;36;63;38;12;42;33;35;1;0;8;418;0;21;47;0;65;22;74;3;1;0;92;9;18;98;33;12;40;3;126;40;91;7243
563;pina colada;245;27;23;1;35;32;315;6;4;0;89;916;0;0;38;38;0;2;2;10;19;69;0;56;80;113;1;3;113;7;99;1001;64;35877
564;whiskey;58;0;0;0;0;100;78;0;0;0;0;147;0;85;0;0;56;73;0;0;0;0;0;0;0;37;72;0;92;7;2;0;20;127
565;rum;49;0;0;0;0;0;0;0;0;0;53;14;0;58;0;0;0;0;0;0;0;0;0;0;0;55;45;0;93;11;4;0;50;49
566;vodka smirnoff;13;4;13;77;73;2;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
567;coffee liqueur;96;38;96;30;42;138;137;41;0;0;93;91;0;42;0;0;75;45;0;0;0;0;0;0;3;19;20;9;11;18;89;53;97;14241
