Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
202;202;mixed nuts roasted;178;154;2;94;32;76;14;52;27;0;1;5;0;63;8;0;74;14;4;73;1;0;33;17;21;4;11;675;6;1305;2079;53;11;531
203;203;salat mix alestro;61;52;9;1;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76
204;204;chestnuts raw;309;33;6;11;13;66;0;35;117;0;20;705;0;3;30;0;2;17;7;5;624;0;0;0;392;6;15;464;14;1349;7511;0;8;1876
205;205;pistachio nuts roasted;172;137;17;74;4;85;23;63;31;0;8;6;0;0;2;9;0;72;4;2;3;9;0;7;54;321;4;12;327;4;1407;3021;21;32348
206;206;walnut;33;33;3;4;24;7;1;8;3;0;41;2;0;64;4;0;37;75;29;18;37;0;60;29;49;58;1;79;2;173;221;60;2;10109
207;207;celery seeds;25;16;1;1;2;27;78;12;8;0;68;4;0;98;50;0;22;2;0;39;11;0;60;0;1149;29;29;286;5;356;91;57;5;1252
208;208;hickorynuts dried;788;772;84;391;263;219;0;153;77;0;53;32;0;1;42;0;2;11;21;2;24;0;0;0;732;9;25;2076;55;4032;5232;38;52;2002
209;209;spanish peanuts roasted;851;721;111;324;25;257;0;412;131;0;6;26;0;5;2;0;1;22;2;4;0;0;0;0;147;1;34;247;35;5689;114070;83;29;3025
210;210;woca seeds dried;102;3;25;44;59;226;1;22;54;0;48;26;0;29;92;0;42;12;4;3;0;0;101;0;76;41;4;243;3;648;1565;21;18;385
211;211;pecans roasted;215;226;22;123;71;39;12;28;29;0;62;3;0;1;53;0;20;4;2;71;2;0;8;0;201;4;7;363;11;789;1176;4;13;532
212;212;fennel seeds;7;3;8;2;65;1;0;3;8;0;97;2;0;21;0;0;92;1;0;45;4;0;0;0;239;51;4;77;1;97;339;0;42;271
213;213;chinese chestnuts roasted;68;3;27;2;73;148;0;13;0;0;52;114;0;36;100;0;37;4;2;1;109;0;0;0;54;1;4;255;5;289;135;0;3;331
